#length[m], curvature[rad/m]
0.37, 0.0
0.100019, -0.3333333333333333
0.200037, 0.3333333333333333
0.100019, -0.3333333333333333
0.1, 0.0
0.10654400000000001, -10.0
0.21308700000000003, 10.0
0.174057, -10.0
0.13502599999999998, 10.0
0.396349, -10.0
0.122065, 0.0
0.316573, 10.0
0.17578499999999997, 0.0
0.369409, -10.0
0.13502599999999998, 10.0
0.174057, -10.0
0.21308700000000003, 10.0
0.10654400000000001, -10.0
0.1, 0.0
0.497359, 3.3333333333333335
0.148373, -10.0
0.967609, 0.45454545454545453
0.628319, 5.0
1.105119, -0.5555555555555556
2.6703539999999997, -0.5882352941176471
2.513274, -0.625
2.3561940000000003, -0.6666666666666666
0.5, 0.0
0.314159, -10.0
0.5, 0.0
1.6720760000000001, 0.8333333333333334
0.103499, -2.0
0.230638, 3.3333333333333335
0.103499, -2.0
1.459197, 0.8333333333333334
0.103499, -2.0
0.230638, 3.3333333333333335
0.103499, -2.0
1.6720760000000001, 0.8333333333333334
0.3, 0.0
1.099557, 1.4285714285714286
0.5, 0.0
3.141593, 1.0
1.4137170000000001, 1.1111111111111112
0.5, 0.0
0.628319, 2.5
0.5, 0.0
1.099557, 1.4285714285714286
0.785398, 2.0
0.358692, 10.0
0.41464, -10.0
0.202493, 10.0
0.218035, -10.0
0.346674, 10.0
0.236207, -10.0
0.118104, 10.0
1.2, 0.0
0.392699, 4.0
1.612534, 0.5
0.314159, -10.0
0.9052469999999999, -0.45454545454545453
1.098721, 2.5
1.0, 0.0
0.100019, 0.3333333333333333
0.200037, -0.3333333333333333
0.100019, 0.3333333333333333
0.5, 0.0
0.203445, -10.0
0.11180300000000001, 0.0
0.11071500000000001, -10.0
1.05, 0.0
0.100019, -0.3333333333333333
0.200037, 0.3333333333333333
0.100019, -0.3333333333333333
1.7, 0.0
0.100019, -0.3333333333333333
0.200037, 0.3333333333333333
0.100019, -0.3333333333333333
0.7, 0.0
0.20761600000000002, -10.0
0.415231, 10.0
0.20761600000000002, -10.0
0.6, 0.0
0.20761600000000002, -10.0
0.415231, 10.0
0.415231, -10.0
0.415231, 10.0
0.33252000000000004, -10.0
0.316228, 0.0
0.252114, -10.0
0.411498, 10.0
0.408698, -10.0
0.434278, 10.0
0.217139, -10.0
0.25, 0.0
