#length[m], curvature[rad/m]
4.5, 0.0
0.74968, -5.0
0.347784, 3.3333333333333335
0.337468, -3.3333333333333335
0.343451, 3.3333333333333335
0.33457000000000003, -3.3333333333333335
0.41990900000000003, 2.5
0.41222299999999995, -2.5
0.418879, 2.5
0.428608, -2.5
0.342306, 3.3333333333333335
0.17793, -3.3333333333333335
0.47123899999999996, 3.3333333333333335
0.15708, 10.0
3.75, 0.0
0.23561900000000002, -6.666666666666667
2.872805, -0.8695652173913043
0.332145, -6.666666666666667
1.3, 0.0
0.392699, 4.0
0.23561900000000002, 6.666666666666667
0.2, 0.0
0.23561900000000002, 6.666666666666667
0.5, 0.0
0.392699, -4.0
0.15708, -10.0
0.65, 0.0
0.44069699999999995, 6.664445184938353
0.13694800000000001, -10.0
3.355, 0.0
0.323472, -6.666666666666667
0.6469450000000001, 6.666666666666667
0.6469450000000001, -6.666666666666667
0.6469450000000001, 6.666666666666667
0.559092, -6.666666666666667
0.9, 0.0
0.23561900000000002, -6.666666666666667
0.3, 0.0
