#length[m], curvature[rad/m]
0.25, 0.0
0.15707963267948966, -10.0
0.15707963267948966, 10.0
0.15707963267948966, -10.0
2.3, 0.0
0.15234632700769876, -2.0
0.3046926540153975, 2.0
0.15234632700769876, -2.0
1.05, 0.0
0.4412507317963192, -5.0
2.9853140538308525, 0.0
0.6283796005046378, 5.0
2.867071676815911, 0.0
1.4970309496665495, -0.625
0.19739555984988155, -1.0
0.10198039027185535, 0.0
0.1831108172624818, -1.0
0.10770329614269059, 0.0
0.12659212727997282, -1.0
0.10295630140986979, 0.0
0.1364026044009482, -1.0
0.10000000000000009, 0.0
0.1418970546041639, -1.0
0.1131370849898477, 0.0
0.1243549945467648, -1.0
0.11401754250991332, 0.0
0.15394466445834087, -1.0
0.10295630140987043, 0.0
0.12659212727997693, -1.0
0.10770329614268997, 0.0
0.18311081726248918, -1.0
0.10198039027185571, 0.0
0.1973955598498765, -1.0
0.10000000000000009, 0.0
0.19739555984987692, -1.0
0.10198039027185549, 0.0
0.18311081726248798, -1.0
0.10770329614269017, 0.0
0.1265921272799777, -1.0
0.10295630140987043, 0.0
0.15394466445834087, -1.0
0.11401754250991332, 0.0
0.1243549945467648, -1.0
0.1131370849898477, 0.0
0.7577585627848107, -1.0
0.353553390593274, 0.0
0.8281550829861857, -0.625
0.2060753653048625, 10.0
0.3459153082881315, -10.0
0.3776713512172836, 10.0
0.3776713512172836, -10.0
0.3776713512172836, 10.0
0.42234578311826204, -10.0
0.3696403686569867, 10.0
0.2277590131838627, -10.0
0.27825965532601177, 10.0
0.18663090328951548, -10.0
0.1, 0.0
0.15707963267948966, -10.0
0.2, 0.0
0.15707963267948966, -10.0
0.15707963267948966, 10.0
0.16244625498224033, -10.0
0.7403377607551844, 0.0
0.25815437224585697, 10.0
1.6087572843657927, 0.0
0.3134142308375582, -10.0
1.0781929326423911, 0.0
0.31521567769970943, 10.0
1.041633332799983, 0.0
0.31521567769970943, -10.0
1.0781929326423911, 0.0
0.31215832355381734, 10.0
1.161895003862225, 0.0
0.1434934157317907, 5.0
0.19843385517915946, -5.0
0.24336829775515892, 5.0
0.18310484765879098, -5.0
0.22207007950615934, 5.0
0.18144417654935585, -5.0
0.21732878822879198, 5.0
0.186161245504877, -5.0
0.2575871518405659, 5.0
0.2112390798435028, -5.0
0.24082133445692608, 5.0
0.18740509849626868, -5.0
0.24616355040396512, 5.0
0.21073613079735762, -5.0
0.268016758369, 5.0
0.22532993111790686, -5.0
0.27416376841521206, 5.0
0.20195196708056182, -10.0
0.63, 0.0
0.15707963267948966, -10.0
0.65, 0.0
